Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,Q9Y450,HBS1L,HBS1-like protein,14,7,7,11,684,75.4,6.61,13217268.25
High,P61326,MAGOH,Protein mago nashi homolog,46,7,1,14,146,17.2,6.11,38916292
High,P35268,RPL22,60S ribosomal protein L22,38,8,6,14,128,14.8,9.19,252334023.75
High,O60716,CTNND1,Catenin delta-1,10,10,10,16,968,108.1,6.23,24911066.375
High,Q6P1J9,CDC73,Parafibromin,21,11,11,19,531,60.5,9.61,38987858.25
High,Q14839,CHD4,Chromodomain-helicase-DNA-binding protein 4,6,11,5,19,1912,217.9,5.86,15080273.25
High,P62314,SNRPD1,Small nuclear ribonucleoprotein Sm D1,38,4,4,9,119,13.3,11.56,75526231
High,Q99575,POP1,Ribonucleases P/MRP protein subunit POP1,11,8,8,12,1024,114.6,9.22,13542336.03125
High,P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,15,6,6,10,631,69.2,5.69,13003086.375
High,Q15428,SF3A2,Splicing factor 3A subunit 2,15,6,6,13,464,49.2,9.64,33307496.375
High,Q96DI7,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,31,7,7,14,357,39.3,8.1,19913969.625
High,Q96D15,RCN3,Reticulocalbin-3,23,5,5,8,328,37.5,4.89,7395218.75
High,O95758,PTBP3,Polypyrimidine tract-binding protein 3,20,7,5,12,552,59.7,9.04,20698202.75
High,Q13162,PRDX4,Peroxiredoxin-4,26,7,5,16,271,30.5,6.29,10073329.75
High,Q6PD62,CTR9,RNA polymerase-associated protein CTR9 homolog,10,9,9,14,1173,133.4,6.77,24434000.625
High,Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,20,10,10,15,707,78.5,4.87,24064435.3125
High,Q9BRJ6,C7orf50,Uncharacterized protein C7orf50,37,6,6,11,194,22.1,9.64,16179106.875
High,P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,28,9,6,16,404,45.5,5.07,26215945.125
High,O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2,36,6,6,9,245,28.3,8.88,20390127.25
High,Q15646,OASL,2'-5'-oligoadenylate synthase-like protein,21,8,8,13,514,59.2,7.87,27253810.875
High,P08865,RPSA,40S ribosomal protein SA,27,7,7,13,295,32.8,4.87,35456050.875
High,Q9Y2R9,MRPS7,"28S ribosomal protein S7, mitochondrial",34,7,7,12,242,28.1,9.99,9471419.625
High,Q659C4,LARP1B,La-related protein 1B,7,6,2,12,914,105.3,7.61,5589366.125
High,Q92522,H1-10,Histone H1.10,32,7,7,13,213,22.5,10.76,80727028
High,Q96A72,MAGOHB,Protein mago nashi homolog 2,46,7,1,13,148,17.3,6.39,5957790.5
High,P60866,RPS20,40S ribosomal protein S20,37,6,6,17,119,13.4,9.94,705206462.3125
High,P35609,ACTN2,Alpha-actinin-2,7,6,1,11,894,103.8,5.45,5684535.5
High,P01040,CSTA,Cystatin-A,76,6,6,10,98,11.0,5.5,22829618.375
High,Q92615,LARP4B,La-related protein 4B,11,7,7,13,738,80.5,6.92,18738879.125
High,P84090,ERH,Enhancer of rudimentary homolog,53,11,11,29,104,12.3,5.92,1170593603.5
High,P62851,RPS25,40S ribosomal protein S25,30,6,6,17,125,13.7,10.11,719297900.25
High,P13646,KRT13,"Keratin, type I cytoskeletal 13",13,8,2,21,458,49.6,4.96,5159004.5
High,Q9Y3Y2,CHTOP,Chromatin target of PRMT1 protein,23,5,5,14,248,26.4,12.23,35675248.9375
High,Q16513,PKN2,Serine/threonine-protein kinase N2,14,11,11,14,984,112.0,6.3,13096101.125
High,Q9Y383,LUC7L2,Putative RNA-binding protein Luc7-like 2,15,5,4,10,392,46.5,10.01,19732478.3125
High,P46782,RPS5,40S ribosomal protein S5,28,6,6,17,204,22.9,9.72,182861298.6875
High,Q02543,RPL18A,60S ribosomal protein L18a,35,11,11,25,176,20.7,10.71,608178857.875
High,Q8WUQ7,CACTIN,Splicing factor Cactin,12,6,6,10,758,88.6,9.14,14734546
High,P50914,RPL14,60S ribosomal protein L14,20,4,4,17,215,23.4,10.93,642687661.875
High,Q53F19,NCBP3,Nuclear cap-binding protein subunit 3,15,8,8,13,620,70.5,5.73,29946326.25
High,Q9BZH6,WDR11,WD repeat-containing protein 11,8,8,8,12,1224,136.6,6.92,8593902.625
High,O60832,DKC1,H/ACA ribonucleoprotein complex subunit DKC1,15,6,6,12,514,57.6,9.42,23078875.625
High,P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",20,7,7,14,298,33.0,9.22,26261832
High,Q00325,SLC25A3,"Phosphate carrier protein, mitochondrial",25,10,10,20,362,40.1,9.38,80547947.75
High,O00299,CLIC1,Chloride intracellular channel protein 1,40,7,6,13,241,26.9,5.17,15404461
High,P31946,YWHAB,14-3-3 protein beta/alpha,27,6,2,11,246,28.1,4.83,2968098.5
High,O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,13,8,6,15,711,79.1,8.38,10001655
High,Q9UQ80,PA2G4,Proliferation-associated protein 2G4,22,8,8,15,394,43.8,6.55,17849416.375
High,Q99832,CCT7,T-complex protein 1 subunit eta,19,9,9,16,543,59.3,7.65,19736911.875
High,P14678,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',35,7,7,17,240,24.6,11.19,116070303.5
High,P05089,ARG1,Arginase-1,23,6,6,11,322,34.7,7.21,19230647.875
High,P50990,CCT8,T-complex protein 1 subunit theta,16,8,8,13,548,59.6,5.6,16689185.75
High,Q96PU4,UHRF2,E3 ubiquitin-protein ligase UHRF2,9,5,5,10,802,89.9,8.21,11690907.625
High,Q86XN8,MEX3D,RNA-binding protein MEX3D,15,7,6,13,651,64.8,5.35,15828394.875
High,P61160,ACTR2,Actin-related protein 2,17,5,5,10,394,44.7,6.74,12080461.75
High,P50991,CCT4,T-complex protein 1 subunit delta,19,7,7,13,539,57.9,7.83,16744871.3125
High,Q96MU7,YTHDC1,YTH domain-containing protein 1,13,11,11,22,727,84.6,6.23,51187173
High,P78362,SRPK2,SRSF protein kinase 2,13,7,5,11,688,77.5,4.97,19655023.25
High,Q9NTI5,PDS5B,Sister chromatid cohesion protein PDS5 homolog B,10,11,10,16,1447,164.6,8.47,59284297.625
High,Q17RY0,CPEB4,Cytoplasmic polyadenylation element-binding protein 4,9,5,5,9,729,80.1,7.18,8745061.875
High,P35221,CTNNA1,Catenin alpha-1,11,8,7,13,906,100.0,6.29,4574925.375
High,Q9BVP2,GNL3,Guanine nucleotide-binding protein-like 3,14,7,7,12,549,62.0,9.16,22454921
High,Q16576,RBBP7,Histone-binding protein RBBP7,20,6,2,9,425,47.8,5.05,15630712
High,P25398,RPS12,40S ribosomal protein S12,34,4,4,11,132,14.5,7.21,103984497
High,P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",11,8,8,15,763,82.9,9.04,15476110.75
High,Q5QNW6,H2BC18,Histone H2B type 2-F,38,5,2,13,126,13.9,10.32,435896035.9375
High,Q86U42,PABPN1,Polyadenylate-binding protein 2,31,5,5,7,306,32.7,5.06,27985236.75
High,Q96FV9,THOC1,THO complex subunit 1,14,8,8,13,657,75.6,4.98,17016467.25
High,P11308,ERG,Transcriptional regulator ERG,18,5,5,7,479,53.8,7.65,9507673.1875
High,Q9NZM5,NOP53,Ribosome biogenesis protein NOP53,20,5,5,8,478,54.4,10.32,8668099.875
High,Q14011,CIRBP,Cold-inducible RNA-binding protein,34,5,5,10,172,18.6,9.51,62048422.25
High,Q9Y4P3,TBL2,Transducin beta-like protein 2,18,6,6,9,447,49.8,9.44,16736157.625
High,Q16778,H2BC21,Histone H2B type 2-E,38,4,1,12,126,13.9,10.32,15200120.5
High,Q8NDT2,RBM15B,Putative RNA-binding protein 15B,12,9,7,12,890,97.1,9.85,14190284.125
High,P0DP24,CALM2,Calmodulin-2,31,3,3,5,149,16.8,4.22,18364086.875
High,Q9NPI6,DCP1A,mRNA-decapping enzyme 1A,17,7,7,12,582,63.2,6.25,8677306.875
High,P04080,CSTB,Cystatin-B,46,3,3,6,98,11.1,7.56,24173089
High,Q13838,DDX39B,Spliceosome RNA helicase DDX39B,21,8,8,16,428,49.0,5.67,17774606.125
High,Q96KG9,SCYL1,N-terminal kinase-like protein,11,7,7,12,808,89.6,6.3,19190617.9375
High,Q13123,IK,Protein Red,19,9,9,17,557,65.6,6.64,48393198.375
High,Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,33,7,7,10,260,29.9,5.73,14045856.75
High,Q9UKM9,RALY,RNA-binding protein Raly,22,7,7,13,306,32.4,9.17,39462259
High,Q96HP0,DOCK6,Dedicator of cytokinesis protein 6,5,7,6,11,2047,229.4,6.74,10293779.5625
High,P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2,13,7,7,11,736,79.6,8.84,12776856.5
High,Q9UBU9,NXF1,Nuclear RNA export factor 1,15,9,9,12,619,70.1,8.51,36501204.75
High,Q01130,SRSF2,Serine/arginine-rich splicing factor 2,21,4,4,9,221,25.5,11.85,69124556.75
High,Q13769,THOC5,THO complex subunit 5 homolog,14,7,7,10,683,78.5,6.87,15733141.5
High,Q12849,GRSF1,G-rich sequence factor 1,24,6,6,8,480,53.1,6.19,7614301.75
High,P19013,KRT4,"Keratin, type II cytoskeletal 4",11,8,2,21,520,56.1,6.61,1789905
High,O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,13,7,7,13,683,77.5,9.5,11935619.9375
High,P83111,LACTB,"Serine beta-lactamase-like protein LACTB, mitochondrial",15,7,7,11,547,60.7,8.53,26923227.75
High,O75494,SRSF10,Serine/arginine-rich splicing factor 10,23,6,6,9,262,31.3,11.27,50306701.5
High,P62280,RPS11,40S ribosomal protein S11,42,10,10,26,158,18.4,10.3,724972288.1875
High,P78371,CCT2,T-complex protein 1 subunit beta,24,8,8,11,535,57.5,6.46,35542038.9375
High,P42677,RPS27,40S ribosomal protein S27,31,4,3,12,84,9.5,9.45,73730441
High,Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,7,8,8,14,1253,145.1,6.9,11927529.5
High,P48681,NES,Nestin,6,8,8,13,1621,177.3,4.36,3530563.5
High,Q9P270,SLAIN2,SLAIN motif-containing protein 2,14,6,6,12,581,62.5,9.45,15423198.25
High,P78316,NOP14,Nucleolar protein 14,9,7,7,11,857,97.6,7.58,9623553
High,P62995,TRA2B,Transformer-2 protein homolog beta,27,7,7,9,288,33.6,11.25,55180666.125
High,Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,7,10,7,12,1732,197.2,6.58,12663370.125
High,P61981,YWHAG,14-3-3 protein gamma,27,7,3,13,247,28.3,4.89,15021915.5
High,Q99755,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,14,5,5,7,562,62.6,8.21,3590475
High,P27348,YWHAQ,14-3-3 protein theta,15,4,2,8,245,27.7,4.78,3995822.375
High,Q7L7L0,H2AC25,Histone H2A type 3,28,5,2,10,130,14.1,11.05,366576312.25
High,Q08554,DSC1,Desmocollin-1,6,4,4,8,894,99.9,5.43,16814443
High,Q96GA3,LTV1,Protein LTV1 homolog,20,8,8,10,475,54.8,4.91,17576543.375
High,P33993,MCM7,DNA replication licensing factor MCM7,18,10,10,14,719,81.3,6.46,12444139.25
High,P46776,RPL27A,60S ribosomal protein L27a,36,6,6,13,148,16.6,11.0,336092487.9375
High,P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2,9,9,9,12,1174,133.8,6.87,10907251.25
High,P62888,RPL30,60S ribosomal protein L30,18,4,4,11,115,12.8,9.63,139256448.625
High,Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein,20,5,5,10,340,36.5,5.41,25778967.5
High,P63151,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,20,7,5,10,447,51.7,6.2,20850974.75
High,P23528,CFL1,Cofilin-1,39,4,3,9,166,18.5,8.09,88478309
High,Q9Y5S9,RBM8A,RNA-binding protein 8A,42,6,6,12,174,19.9,5.72,33687205.25
High,P21291,CSRP1,Cysteine and glycine-rich protein 1,31,5,5,8,193,20.6,8.57,41583023.875
High,Q93073,SECISBP2L,Selenocysteine insertion sequence-binding protein 2-like,8,7,7,11,1101,121.7,6.04,10843554.125
High,Q8IVF7,FMNL3,Formin-like protein 3,9,9,9,13,1028,117.1,6.65,17478509.5
High,P50453,SERPINB9,Serpin B9,20,5,5,9,376,42.4,5.86,10451672.375
High,P30050,RPL12,60S ribosomal protein L12,30,4,4,9,165,17.8,9.42,405028892.296875
High,O75083,WDR1,WD repeat-containing protein 1,11,5,5,9,606,66.2,6.65,20318474.75
High,O95639,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,25,4,4,9,269,30.2,8.31,25260472.625
High,O95429,BAG4,BAG family molecular chaperone regulator 4,18,5,5,10,457,49.6,5.12,13602414.5
High,Q00059,TFAM,"Transcription factor A, mitochondrial",28,8,8,15,246,29.1,9.72,37535084
High,Q16629,SRSF7,Serine/arginine-rich splicing factor 7,27,6,5,12,238,27.4,11.82,61256150.875
High,P84103,SRSF3,Serine/arginine-rich splicing factor 3,29,5,4,12,164,19.3,11.65,170028461.125
High,Q96ST2,IWS1,Protein IWS1 homolog,11,8,8,13,819,91.9,4.69,24389917.03125
High,Q8TB72,PUM2,Pumilio homolog 2,5,4,2,7,1066,114.1,7.08,3764755.75
High,Q13895,BYSL,Bystin,18,7,7,11,437,49.6,8.12,13036209.25
High,Q9P2E3,ZNFX1,NFX1-type zinc finger-containing protein 1,6,10,10,15,1918,220.1,7.3,8611155.25
High,Q9Y5B6,PAXBP1,PAX3- and PAX7-binding protein 1,12,9,9,16,917,104.7,5.68,14593963.125
High,Q15084,PDIA6,Protein disulfide-isomerase A6,19,6,6,10,440,48.1,5.08,13806913
High,Q53GQ0,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,14,4,4,8,312,34.3,9.32,7169369.75
High,P49756,RBM25,RNA-binding protein 25,10,7,7,11,843,100.1,6.32,160094293
High,Q9UGR2,ZC3H7B,Zinc finger CCCH domain-containing protein 7B,10,8,8,13,977,109.8,7.25,18907726.875
High,P11182,DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",16,6,6,11,482,53.5,8.51,13337057.875
High,Q9Y580,RBM7,RNA-binding protein 7,32,6,6,7,266,30.5,9.57,10941791.375
High,Q9Y230,RUVBL2,RuvB-like 2,16,7,7,11,463,51.1,5.64,9445644.875
High,Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,16,5,5,10,251,28.8,4.06,27189526.75
High,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,7,9,6,11,1711,194.2,6.37,4161603.25
High,Q9UEY8,ADD3,Gamma-adducin,13,7,7,11,706,79.1,6.32,13676896.375
High,Q9NWH9,SLTM,SAFB-like transcription modulator,4,4,4,6,1034,117.1,7.87,8475916.25
High,O75330,HMMR,Hyaluronan mediated motility receptor,8,4,4,7,724,84.0,5.83,5875563.125
High,P31689,DNAJA1,DnaJ homolog subfamily A member 1,14,4,4,8,397,44.8,7.08,26129667
High,Q13148,TARDBP,TAR DNA-binding protein 43,20,6,6,11,414,44.7,6.19,27583687.5
High,Q9H089,LSG1,Large subunit GTPase 1 homolog,14,9,9,14,658,75.2,6.38,45133127
High,P63173,RPL38,60S ribosomal protein L38,53,6,6,13,70,8.2,10.1,48930297.5
High,Q32MZ4,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,9,6,5,8,808,89.2,4.65,8196693.875
High,O75396,SEC22B,Vesicle-trafficking protein SEC22b,30,5,5,8,215,24.7,8.51,6953360.875
High,O95340,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,10,5,5,9,614,69.5,8.03,8188297.9375
High,Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,13,8,8,12,757,86.3,5.16,30720000.5625
High,P50402,EMD,Emerin,24,6,6,9,254,29.0,5.5,14364477.1875
High,Q9ULX3,NOB1,RNA-binding protein NOB1,22,6,6,9,412,46.6,7.18,22160284.375
High,P20591,MX1,Interferon-induced GTP-binding protein Mx1,12,7,7,12,662,75.5,5.83,14899840.375
High,Q96A33,CCDC47,PAT complex subunit CCDC47,13,4,4,6,483,55.8,4.87,7902519
High,Q15427,SF3B4,Splicing factor 3B subunit 4,15,5,5,9,424,44.4,8.56,52467121.5
High,P49591,SARS1,"Serine--tRNA ligase, cytoplasmic",15,6,6,10,514,58.7,6.43,10951566.375
High,P39748,FEN1,Flap endonuclease 1,21,6,6,9,380,42.6,8.62,20607548.25
High,Q9BXJ9,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",9,7,7,11,866,101.2,7.42,10245935.25
High,Q9Y6A4,CFAP20,Cilia- and flagella-associated protein 20,24,5,5,9,193,22.8,9.76,73252604
High,Q14684,RRP1B,Ribosomal RNA processing protein 1 homolog B,15,7,7,11,758,84.4,9.76,9524659
High,P62899,RPL31,60S ribosomal protein L31,48,8,8,16,125,14.5,10.54,618187323.5
High,Q08379,GOLGA2,Golgin subfamily A member 2,9,5,5,8,1002,113.0,5.02,5204233.9375
High,Q8WWI1,LMO7,LIM domain only protein 7,5,5,5,7,1683,192.6,8.09,5851332
High,P83731,RPL24,60S ribosomal protein L24,22,4,4,20,157,17.8,11.25,634105991.875
High,Q8WU90,ZC3H15,Zinc finger CCCH domain-containing protein 15,13,6,6,8,426,48.6,5.31,27166926.5625
High,Q9H4M9,EHD1,EH domain-containing protein 1,13,7,4,12,534,60.6,6.83,7083619.125
High,Q96P63,SERPINB12,Serpin B12,12,4,4,5,405,46.2,5.53,12465377.625
High,P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",13,5,5,9,529,56.5,5.4,6920874.625
High,P35659,DEK,Protein DEK,15,5,5,8,375,42.6,8.56,12056348.25
High,Q5D862,FLG2,Filaggrin-2,3,3,3,6,2391,247.9,8.31,15464493.625
High,P52943,CRIP2,Cysteine-rich protein 2,25,2,2,4,208,22.5,8.72,39541646
High,Q9BWM7,SFXN3,Sideroflexin-3,26,6,6,10,321,35.5,9.1,3717949.125
High,Q9Y676,MRPS18B,"28S ribosomal protein S18b, mitochondrial",21,5,5,10,258,29.4,9.38,10865840.5
High,Q9BZE4,GTPBP4,GTP-binding protein 4,11,6,6,8,634,73.9,9.5,11946068.125
High,P40227,CCT6A,T-complex protein 1 subunit zeta,15,7,7,10,531,58.0,6.68,10186378.625
High,Q9BZK7,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1,10,4,4,7,514,55.6,5.55,1260860.625
High,P27105,STOM,Stomatin,19,4,4,8,288,31.7,7.88,10097963.375
High,O75525,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",14,6,2,23,346,38.8,7.61,12394350.75
High,P20908,COL5A1,Collagen alpha-1(V) chain,5,5,5,7,1838,183.4,5.06,7942380.9375
High,Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",12,6,6,8,727,83.5,6.95,6107315.75
High,P06730,EIF4E,Eukaryotic translation initiation factor 4E,34,6,6,12,217,25.1,6.15,115934992.5
High,Q9HC36,MRM3,"rRNA methyltransferase 3, mitochondrial",19,7,7,13,420,47.0,8.73,34196918.25
High,Q04917,YWHAH,14-3-3 protein eta,21,6,4,10,246,28.2,4.84,12183165.25
High,Q8ND56,LSM14A,Protein LSM14 homolog A,12,5,5,9,463,50.5,9.52,15300958.75
High,Q6PJT7,ZC3H14,Zinc finger CCCH domain-containing protein 14,14,8,8,12,736,82.8,7.31,23395269
High,Q9HCD5,NCOA5,Nuclear receptor coactivator 5,9,4,4,7,579,65.5,9.6,7131060.125
High,P49916,LIG3,DNA ligase 3,9,9,9,13,1009,112.8,9.01,8666392.25
High,P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,17,6,6,11,351,40.6,8.79,18062047.3125
High,P40937,RFC5,Replication factor C subunit 5,19,4,4,7,340,38.5,7.2,9315454.9375
High,P04637,TP53,Cellular tumor antigen p53,19,6,6,11,393,43.6,6.79,14404858.75
High,P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",14,6,5,11,452,50.9,8.69,10315801
High,O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,15,5,5,9,372,40.9,8.35,15968118.75
High,Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47,17,6,6,9,455,50.6,9.1,9641129.25
High,Q8IV48,ERI1,3'-5' exoribonuclease 1,18,5,5,9,349,40.0,6.7,10157372.9375
High,Q96QR8,PURB,Transcriptional activator protein Pur-beta,23,9,6,16,312,33.2,5.43,30441667.5
High,Q99439,CNN2,Calponin-2,20,5,4,8,309,33.7,7.33,6249067.125
High,P62854,RPS26,40S ribosomal protein S26,40,4,4,8,115,13.0,11.0,356182073.65625
High,P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",7,4,1,8,780,85.0,7.5,1722930.625
High,O00422,SAP18,Histone deacetylase complex subunit SAP18,42,4,4,7,153,17.6,9.35,18768648.375
High,O60884,DNAJA2,DnaJ homolog subfamily A member 2,21,7,7,13,412,45.7,6.48,11745941.5625
High,Q7Z7L1,SLFN11,Schlafen family member 11,6,6,5,10,901,102.8,7.77,11377097.25
High,Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,30,6,6,10,306,35.8,6.65,21540564.375
High,Q66K74,MAP1S,Microtubule-associated protein 1S,8,7,7,11,1059,112.1,7.3,11879700.625
High,P49757,NUMB,Protein numb homolog,12,7,6,10,651,70.8,8.51,14106559.375
High,Q16777,H2AC20,Histone H2A type 2-C,29,4,1,9,129,14.0,10.9,13793633
High,Q9NPD3,EXOSC4,Exosome complex component RRP41,15,3,3,6,245,26.4,6.52,13196807.375
High,Q96QV6,H2AC1,Histone H2A type 1-A,28,4,2,7,131,14.2,10.86,
High,P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",10,6,6,9,773,88.3,8.65,10076588.3125
High,Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial",18,6,6,8,414,47.6,6.18,15204958.5
High,P49585,PCYT1A,Choline-phosphate cytidylyltransferase A,17,4,4,7,367,41.7,7.25,2762298.375
High,Q5T8P6,RBM26,RNA-binding protein 26,7,7,5,11,1007,113.5,9.16,5696529.5
High,Q9H9A5,CNOT10,CCR4-NOT transcription complex subunit 10,11,7,7,12,744,82.3,7.78,5223700.25
High,O43251,RBFOX2,RNA binding protein fox-1 homolog 2,15,4,4,8,390,41.3,7.27,11460045.625
High,Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3,6,5,5,9,1217,141.5,7.18,4662005.25
High,Q13595,TRA2A,Transformer-2 protein homolog alpha,28,7,7,12,282,32.7,11.27,44740949.25
High,O15226,NKRF,NF-kappa-B-repressing factor,10,6,6,10,690,77.6,8.79,9920591.125
High,Q92896,GLG1,Golgi apparatus protein 1,3,4,4,5,1179,134.5,6.9,11882793.4375
High,Q15785,TOMM34,Mitochondrial import receptor subunit TOM34,19,4,4,6,309,34.5,8.98,6903189.875
High,P28370,SMARCA1,Probable global transcription activator SNF2L1,8,9,2,16,1054,122.5,8.09,2430371.5
High,Q16891,IMMT,MICOS complex subunit MIC60,11,6,6,9,758,83.6,6.48,4218909.5625
High,Q8TCJ2,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,11,8,8,13,826,93.6,8.91,28611791.875
High,Q9BW19,KIFC1,Kinesin-like protein KIFC1,12,6,6,11,673,73.7,8.98,8282943.125
High,Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,8,6,6,9,793,91.0,7.18,7812825.125
High,Q96EP5,DAZAP1,DAZ-associated protein 1,13,4,4,6,407,43.4,8.56,14160445
High,Q9H6R4,NOL6,Nucleolar protein 6,5,5,5,6,1146,127.5,7.64,3947399.375
High,Q93062,RBPMS,RNA-binding protein with multiple splicing,35,5,4,9,196,21.8,8.07,16831642
High,Q9H3U1,UNC45A,Protein unc-45 homolog A,7,5,5,6,944,103.0,6.07,5112153
High,Q8TDI0,CHD5,Chromodomain-helicase-DNA-binding protein 5,4,7,1,13,1954,222.9,6.15,1600024.75
High,Q9H0U3,MAGT1,Magnesium transporter protein 1,18,6,6,11,335,38.0,9.63,21640535
High,P18615,NELFE,Negative elongation factor E,17,4,4,6,380,43.2,9.33,3755002
High,P18077,RPL35A,60S ribosomal protein L35a,30,7,7,23,110,12.5,11.06,413664311.625
High,Q71UM5,RPS27L,40S ribosomal protein S27-like,31,3,2,9,84,9.5,9.45,9902967.75
High,P29084,GTF2E2,Transcription initiation factor IIE subunit beta,21,5,5,7,291,33.0,9.66,3796142.1875
High,Q13610,PWP1,Periodic tryptophan protein 1 homolog,16,5,5,6,501,55.8,4.77,7848562.125
High,Q96QD9,FYTTD1,UAP56-interacting factor,26,7,7,9,318,35.8,11.78,10082337
High,Q15208,STK38,Serine/threonine-protein kinase 38,11,4,4,7,465,54.2,7.15,6077613.5
High,Q9Y3A5,SBDS,Ribosome maturation protein SBDS,18,6,6,12,250,28.7,8.75,18852877.5
High,Q14692,BMS1,Ribosome biogenesis protein BMS1 homolog,4,4,4,7,1282,145.7,6.44,5837548.0625
High,P01876,IGHA1,Immunoglobulin heavy constant alpha 1,13,4,4,7,398,42.8,5.64,7765939.5
High,Q9NVP1,DDX18,ATP-dependent RNA helicase DDX18,9,5,5,9,670,75.4,9.5,13676225.75
High,Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,5,7,5,11,1584,184.4,8.02,1944971.625
High,P29279,CCN2,CCN family member 2,12,4,4,9,349,38.1,8.0,17133256.5
High,O15258,RER1,Protein RER1,24,4,4,6,196,22.9,9.54,6243521.25
High,Q8NHQ9,DDX55,ATP-dependent RNA helicase DDX55,7,5,5,7,600,68.5,9.25,4764988.1875
High,Q13243,SRSF5,Serine/arginine-rich splicing factor 5,22,5,4,7,272,31.2,11.59,44767161.25
High,Q9BQ67,GRWD1,Glutamate-rich WD repeat-containing protein 1,17,5,5,8,446,49.4,4.92,12728860.75
High,P62266,RPS23,40S ribosomal protein S23,30,6,6,14,143,15.8,10.49,317749241.1875
High,Q9NR56,MBNL1,Muscleblind-like protein 1,12,4,4,8,388,41.8,8.9,43986603.5
High,P41250,GARS1,Glycine--tRNA ligase,9,6,6,9,739,83.1,7.03,9900587.625
High,P82979,SARNP,SAP domain-containing ribonucleoprotein,27,5,5,9,210,23.7,6.42,11811356.4375
High,Q09028,RBBP4,Histone-binding protein RBBP4,15,5,1,7,425,47.6,4.89,966554.9375
High,Q86SQ0,PHLDB2,Pleckstrin homology-like domain family B member 2,5,5,5,9,1253,142.1,7.43,9193624.25
High,Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B,15,6,6,8,483,57.7,9.48,10390674.625
High,Q9Y5M8,SRPRB,Signal recognition particle receptor subunit beta,20,4,4,6,271,29.7,9.04,6533400.8125
High,Q8WWK9,CKAP2,Cytoskeleton-associated protein 2,7,4,4,8,683,76.9,9.41,8883152.625
High,Q13547,HDAC1,Histone deacetylase 1,12,5,1,9,482,55.1,5.48,
High,P52292,KPNA2,Importin subunit alpha-1,10,4,4,5,529,57.8,5.4,2042968.125
High,P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,5,6,6,8,1970,217.0,7.37,6734479.25
High,P30041,PRDX6,Peroxiredoxin-6,29,6,6,8,224,25.0,6.38,11430732.5625
High,Q99848,EBNA1BP2,Probable rRNA-processing protein EBP2,22,4,4,9,306,34.8,10.1,7797862.25
