Protein FDR Confidence,Uniprot_ID,Gene_name,Description,Coverage (%),Peptides,Unique Peptides,PSMs,AAs,MW (kDa),calc. pI,Abundance
High,P43243,MATR3,Matrin-3,14,9,9,16,847,94.6,6.25,20591181.375
High,O95340,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,14,7,7,12,614,69.5,8.03,4637935.5
High,O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,10,9,9,13,1030,115.2,5.4,8241123.6875
High,P22061,PCMT1,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,37,6,6,12,227,24.6,7.21,13625631.8125
High,Q16543,CDC37,Hsp90 co-chaperone Cdc37,24,7,7,9,378,44.4,5.25,24795853
High,Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K,28,6,6,16,218,25.0,4.93,84052199.375
High,Q86V81,ALYREF,THO complex subunit 4,21,3,3,5,257,26.9,11.15,14254657.5
High,P27361,MAPK3,Mitogen-activated protein kinase 3,16,6,4,14,379,43.1,6.74,5217963.625
High,P09661,SNRPA1,U2 small nuclear ribonucleoprotein A',33,6,6,10,255,28.4,8.62,15434074.5
High,Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,16,6,4,10,251,28.8,4.06,33259639
High,Q96EK9,KTI12,Protein KTI12 homolog,30,7,7,11,354,38.6,6.95,11282553.28125
High,Q6IBS0,TWF2,Twinfilin-2,16,4,3,6,349,39.5,6.84,4870930.5625
High,Q96AG4,LRRC59,Leucine-rich repeat-containing protein 59,24,8,8,13,307,34.9,9.57,37716827
High,O60884,DNAJA2,DnaJ homolog subfamily A member 2,20,8,8,13,412,45.7,6.48,16311072.6875
High,P05089,ARG1,Arginase-1,22,6,6,9,322,34.7,7.21,12293039.6875
High,P11308,ERG,Transcriptional regulator ERG,16,5,5,9,479,53.8,7.65,9262710.375
High,Q9UBB9,TFIP11,Tuftelin-interacting protein 11,11,6,6,10,837,96.8,5.67,2866993.5
High,Q99439,CNN2,Calponin-2,24,5,5,8,309,33.7,7.33,10606026.875
High,O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,15,5,5,8,372,40.9,8.35,6276421.125
High,P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial",11,8,8,13,763,82.9,9.04,10805307.8125
High,Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12",11,5,5,9,609,67.3,6.57,7634861
High,Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase,22,6,6,10,344,37.4,6.24,6742254.25
High,P42166,TMPO,"Lamina-associated polypeptide 2, isoform alpha",11,5,5,8,694,75.4,7.66,7353583.1875
High,P08708,RPS17,40S ribosomal protein S17,40,3,3,9,135,15.5,9.85,41928339.5
High,Q10567,AP1B1,AP-1 complex subunit beta-1,10,10,1,14,949,104.5,5.06,915971.1875
High,P40227,CCT6A,T-complex protein 1 subunit zeta,15,7,7,12,531,58.0,6.68,9431698.875
High,P32119,PRDX2,Peroxiredoxin-2,33,7,6,13,198,21.9,5.97,14011275.75
High,Q99700,ATXN2,Ataxin-2,7,7,7,10,1313,140.2,9.57,3758316.1875
High,Q9Y2D5,AKAP2,A-kinase anchor protein 2,14,8,8,12,859,94.6,5.11,2618922.625
High,P06310,IGKV2-30,Immunoglobulin kappa variable 2-30,20,3,1,85,120,13.2,8.51,762014.5
High,Q9H3S7,PTPN23,Tyrosine-protein phosphatase non-receptor type 23,6,9,9,14,1636,178.9,6.92,7036654.78125
High,P23258,TUBG1,Tubulin gamma-1 chain,19,5,5,8,451,51.1,6.14,3803789.71875
High,Q8WUQ7,CACTIN,Splicing factor Cactin,10,5,5,8,758,88.6,9.14,6940989.4375
High,P29508,SERPINB3,Serpin B3,17,7,7,10,390,44.5,6.81,9045231.3125
High,Q92616,GCN1,eIF-2-alpha kinase activator GCN1,4,11,11,14,2671,292.5,7.43,5163031.5
High,P84098,RPL19,60S ribosomal protein L19,27,6,6,9,196,23.5,11.47,26232373.1875
High,P04040,CAT,Catalase,14,5,5,9,527,59.7,7.39,4711175.6875
High,P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,24,6,6,11,294,31.5,7.56,19533265
High,Q9BYK8,HELZ2,Helicase with zinc finger domain 2,5,10,10,12,2649,294.5,7.49,4424193.8125
High,P18085,ARF4,ADP-ribosylation factor 4,33,6,4,12,180,20.5,7.14,12819324
High,P30876,POLR2B,DNA-directed RNA polymerase II subunit RPB2,9,11,11,17,1174,133.8,6.87,3855591.5
High,Q9NSB2,KRT84,"Keratin, type II cuticular Hb4",7,6,1,22,600,64.8,7.56,1919925.25
High,P50991,CCT4,T-complex protein 1 subunit delta,18,8,8,13,539,57.9,7.83,17555917.875
High,P62913,RPL11,60S ribosomal protein L11,28,5,5,10,178,20.2,9.6,104079348.40625
High,Q3SY84,KRT71,"Keratin, type II cytoskeletal 71",11,6,3,28,523,57.3,6.61,17895703.8125
High,P50914,RPL14,60S ribosomal protein L14,15,3,3,8,215,23.4,10.93,80553759.75
High,P04792,HSPB1,Heat shock protein beta-1,26,4,4,8,205,22.8,6.4,5541811.125
High,P60866,RPS20,40S ribosomal protein S20,37,6,6,10,119,13.4,9.94,101517303.75
High,P08865,RPSA,40S ribosomal protein SA,18,4,4,8,295,32.8,4.87,12435271.25
High,Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein,17,5,5,10,340,36.5,5.41,9698147.25
High,Q9HA64,FN3KRP,Ketosamine-3-kinase,23,7,7,10,309,34.4,7.33,12292741.75
High,P35609,ACTN2,Alpha-actinin-2,7,5,1,9,894,103.8,5.45,2852381.25
High,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,6,8,4,13,1711,194.2,6.37,5171715.8125
High,P84103,SRSF3,Serine/arginine-rich splicing factor 3,35,6,6,12,164,19.3,11.65,95523061
High,Q96QK1,VPS35,Vacuolar protein sorting-associated protein 35,9,7,7,12,796,91.6,5.49,8432208.5
High,Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,21,5,5,10,314,34.0,9.91,10479840.875
High,Q9UK41,VPS28,Vacuolar protein sorting-associated protein 28 homolog,21,3,3,6,221,25.4,5.54,12331322.5625
High,P26640,VARS1,Valine--tRNA ligase,10,8,8,12,1264,140.4,7.59,4777962.1875
High,P0DP24,CALM2,Calmodulin-2,40,4,4,7,149,16.8,4.22,11583987.875
High,A6NFQ2,TCAF2,TRPM8 channel-associated factor 2,11,9,8,11,919,100.8,7.17,7414131.25
High,P40763,STAT3,Signal transducer and activator of transcription 3,11,6,6,10,770,88.0,6.3,3260840.5
High,Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11,6,7,7,10,1133,128.8,7.14,2765808.875
High,P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",20,6,6,11,298,33.0,9.22,12876465.6875
High,Q15046,KARS1,Lysine--tRNA ligase,13,6,6,10,597,68.0,6.35,6042092.625
High,P35221,CTNNA1,Catenin alpha-1,11,7,6,9,906,100.0,6.29,5549289.125
High,O76094,SRP72,Signal recognition particle subunit SRP72,13,7,7,9,671,74.6,9.26,4941679.8125
High,Q9H4M9,EHD1,EH domain-containing protein 1,12,6,3,14,534,60.6,6.83,3689587.1875
High,P31944,CASP14,Caspase-14,17,4,4,5,242,27.7,5.58,5582753.40625
High,Q6KB66,KRT80,"Keratin, type II cytoskeletal 80",17,7,6,14,452,50.5,5.67,3588600.25
High,P78344,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,9,8,8,13,907,102.3,7.14,6462652.25
High,Q96EY5,MVB12A,Multivesicular body subunit 12A,20,4,4,8,273,28.8,8.91,18751290.5
High,O75436,VPS26A,Vacuolar protein sorting-associated protein 26A,25,6,6,10,327,38.1,6.57,4594352.53125
High,P25311,AZGP1,Zinc-alpha-2-glycoprotein,17,3,3,6,298,34.2,6.05,6095481.125
High,P81605,DCD,Dermcidin,36,4,4,8,110,11.3,6.54,20517635.25
High,Q07020,RPL18,60S ribosomal protein L18,20,4,4,8,188,21.6,11.72,30440666
High,O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,13,8,6,10,711,79.1,8.38,20265541.375
High,Q8N1W1,ARHGEF28,Rho guanine nucleotide exchange factor 28,6,6,6,10,1705,191.8,6.04,2499524.75
High,Q6PD62,CTR9,RNA polymerase-associated protein CTR9 homolog,6,7,7,12,1173,133.4,6.77,8204041.125
High,Q06787,FMR1,Fragile X messenger ribonucleoprotein 1,10,6,4,9,632,71.1,7.42,4780841.75
High,Q99832,CCT7,T-complex protein 1 subunit eta,19,9,9,14,543,59.3,7.65,16144738
High,Q9UJV9,DDX41,Probable ATP-dependent RNA helicase DDX41,14,7,7,12,622,69.8,6.84,4728912.03125
High,P83731,RPL24,60S ribosomal protein L24,22,4,4,7,157,17.8,11.25,71011353.5
High,Q16777,H2AC20,Histone H2A type 2-C,36,5,1,12,129,14.0,10.9,2729212.25
High,Q9Y580,RBM7,RNA-binding protein 7,26,5,5,7,266,30.5,9.57,9233421.625
High,Q32MZ4,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,7,5,4,8,808,89.2,4.65,4745220.375
High,Q13243,SRSF5,Serine/arginine-rich splicing factor 5,22,5,4,7,272,31.2,11.59,28521340.625
High,Q9BZF9,UACA,Uveal autoantigen with coiled-coil domains and ankyrin repeats,5,6,6,10,1416,162.4,7.03,4458422.8125
High,Q8IWX8,CHERP,Calcium homeostasis endoplasmic reticulum protein,8,6,6,10,916,103.6,9.04,8763488.375
High,Q99623,PHB2,Prohibitin-2,23,5,5,6,299,33.3,9.83,3033078
High,O60343,TBC1D4,TBC1 domain family member 4,6,7,7,11,1298,146.5,7.01,4707100.8125
High,O75909,CCNK,Cyclin-K,10,3,3,5,580,64.2,8.41,5037154.25
High,P42677,RPS27,40S ribosomal protein S27,31,3,3,8,84,9.5,9.45,14754545.875
High,Q15637,SF1,Splicing factor 1,13,5,5,8,639,68.3,8.98,9021186.625
High,Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,13,7,5,12,761,84.3,6.8,7815991.5
High,O00299,CLIC1,Chloride intracellular channel protein 1,31,6,5,9,241,26.9,5.17,16762748.625
High,P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",15,6,6,11,452,50.9,8.69,8082251.5
High,P62879,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,13,4,1,7,340,37.3,6.0,4439897
High,P15170,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,20,8,8,14,499,55.7,5.62,9404985.1875
High,P50452,SERPINB8,Serpin B8,18,7,5,12,374,42.7,5.57,6143477.1875
High,Q9BWM7,SFXN3,Sideroflexin-3,26,6,6,12,321,35.5,9.1,3945058.1875
High,P42771,CDKN2A,Cyclin-dependent kinase inhibitor 2A,26,3,3,5,156,16.5,5.81,7303373
High,Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,14,7,7,13,707,78.5,4.87,10555102.125
High,Q7L7L0,H2AC25,Histone H2A type 3,35,5,1,11,130,14.1,11.05,204616354.75
High,P51570,GALK1,Galactokinase,19,6,6,11,392,42.2,6.46,5486032.0625
High,P42766,RPL35,60S ribosomal protein L35,30,5,5,10,123,14.5,11.05,64178083.75
High,Q9H0D6,XRN2,5'-3' exoribonuclease 2,9,7,7,12,950,108.5,7.47,7637073.375
High,P12268,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2,13,5,5,10,514,55.8,6.9,9192445.625
High,P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,17,5,3,7,404,45.5,5.07,3733021.5
High,Q53GQ0,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,29,7,7,11,312,34.3,9.32,5748234.5
High,P61158,ACTR3,Actin-related protein 3,19,6,6,8,418,47.3,5.88,9796235.875
High,Q8TCB0,IFI44,Interferon-induced protein 44,18,7,7,10,444,50.5,6.89,23030074.0625
High,P42566,EPS15,Epidermal growth factor receptor substrate 15,12,8,8,12,896,98.6,4.64,11158902.5
High,P39060,COL18A1,Collagen alpha-1(XVIII) chain,3,4,4,7,1754,178.1,6.01,4774371.25
High,O15020,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",4,7,2,10,2390,271.2,6.11,445599.5625
High,P61160,ACTR2,Actin-related protein 2,21,6,6,9,394,44.7,6.74,6852306.75
High,P50479,PDLIM4,PDZ and LIM domain protein 4,22,6,6,9,330,35.4,7.91,209291920.4375
High,P04080,CSTB,Cystatin-B,52,4,4,7,98,11.1,7.56,26501625.5
High,Q6NYC8,PPP1R18,Phostensin,10,6,6,8,613,67.9,5.4,4942168.5625
High,Q2TAY7,SMU1,WD40 repeat-containing protein SMU1,14,6,6,7,513,57.5,7.18,8007572.3125
High,O75165,DNAJC13,DnaJ homolog subfamily C member 13,5,9,9,10,2243,254.3,6.74,2895940.78125
High,P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",18,8,8,13,421,47.5,9.07,4728436.875
High,Q96MU7,YTHDC1,YTH domain-containing protein 1,11,10,10,13,727,84.6,6.23,16728020.625
High,Q96CW5,TUBGCP3,Gamma-tubulin complex component 3,7,5,5,7,907,103.5,8.12,3913361.75
High,O43684,BUB3,Mitotic checkpoint protein BUB3,17,5,5,9,328,37.1,6.84,7782903.625
High,P61981,YWHAG,14-3-3 protein gamma,23,6,2,11,247,28.3,4.89,8113278
High,Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60,4,7,4,12,1712,197.7,7.59,2598368.875
High,Q9BQ04,RBM4B,RNA-binding protein 4B,17,7,1,13,359,40.1,6.74,
High,O60841,EIF5B,Eukaryotic translation initiation factor 5B,7,4,4,6,1220,138.7,5.49,7296509.625
High,P09382,LGALS1,Galectin-1,21,3,3,9,135,14.7,5.5,23830421.25
High,P48643,CCT5,T-complex protein 1 subunit epsilon,15,7,7,11,541,59.6,5.66,23345363.71875
High,Q8WUP2,FBLIM1,Filamin-binding LIM protein 1,9,3,3,6,373,40.6,6.02,6551005
High,Q9BY77,POLDIP3,Polymerase delta-interacting protein 3,16,5,5,8,421,46.1,9.99,5561644.5
High,Q9P035,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,19,5,5,6,362,43.1,8.94,6680224.96875
High,Q13796,SHROOM2,Protein Shroom2,3,4,4,5,1616,176.3,7.09,5972811.5
High,P35251,RFC1,Replication factor C subunit 1,7,7,7,12,1148,128.2,9.36,6663103.375
High,Q5QNW6,H2BC18,Histone H2B type 2-F,27,4,2,7,126,13.9,10.32,16363093
High,Q16512,PKN1,Serine/threonine-protein kinase N1,9,6,6,8,942,103.9,6.37,4067157.96875
High,Q6XZF7,DNMBP,Dynamin-binding protein,5,6,6,8,1577,177.2,5.39,80244798.875
High,Q9Y3U8,RPL36,60S ribosomal protein L36,24,4,4,6,105,12.2,11.59,12537462.75
High,Q9ULV4,CORO1C,Coronin-1C,9,4,4,6,474,53.2,7.08,23955755.4375
High,P21291,CSRP1,Cysteine and glycine-rich protein 1,19,3,3,5,193,20.6,8.57,18206099.75
High,Q07866,KLC1,Kinesin light chain 1,18,8,8,11,573,65.3,6.2,8415841.46875
High,Q92522,H1-10,Histone H1.10,18,4,4,8,213,22.5,10.76,7297032.1875
High,P22735,TGM1,Protein-glutamine gamma-glutamyltransferase K,9,5,5,8,817,89.7,6.04,3036103.25
High,Q96AQ6,PBXIP1,Pre-B-cell leukemia transcription factor-interacting protein 1,8,5,5,7,731,80.6,5.33,4372710.625
High,Q8TD19,NEK9,Serine/threonine-protein kinase Nek9,9,6,6,10,979,107.1,5.74,3814835.4375
High,Q96KG9,SCYL1,N-terminal kinase-like protein,11,7,7,13,808,89.6,6.3,22171600.5625
High,Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,11,6,2,12,558,62.6,7.83,3029519.375
High,O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",16,5,5,7,355,40.7,8.48,8133526.3125
High,Q16778,H2BC21,Histone H2B type 2-E,27,4,2,7,126,13.9,10.32,77332734
High,Q6GPH4,XAF1,XIAP-associated factor 1,16,3,3,4,301,34.6,8.19,5725962.6875
High,O14818,PSMA7,Proteasome subunit alpha type-7,27,5,5,6,248,27.9,8.46,3342621.5
High,O00148,DDX39A,ATP-dependent RNA helicase DDX39A,14,6,6,9,427,49.1,5.68,5073116.8125
High,Q08J23,NSUN2,RNA cytosine C(5)-methyltransferase NSUN2,11,6,6,9,767,86.4,6.77,4418673.5625
High,P35268,RPL22,60S ribosomal protein L22,26,4,4,7,128,14.8,9.19,43014569.75
High,Q709C8,VPS13C,Intermembrane lipid transfer protein VPS13C,3,9,9,9,3753,422.1,6.83,2463727.625
High,Q9ULX3,NOB1,RNA-binding protein NOB1,12,4,4,6,412,46.6,7.18,4311241.25
High,Q9Y6A4,CFAP20,Cilia- and flagella-associated protein 20,21,4,4,7,193,22.8,9.76,34450877
High,Q13595,TRA2A,Transformer-2 protein homolog alpha,19,7,7,11,282,32.7,11.27,18954808.5
High,Q8NFW8,CMAS,N-acylneuraminate cytidylyltransferase,12,3,3,5,434,48.3,7.93,5235413.625
High,Q9Y5X2,SNX8,Sorting nexin-8,16,6,6,8,465,52.5,7.39,7299658.0625
High,Q3MHD2,LSM12,Protein LSM12,19,2,2,4,195,21.7,7.74,9409374.75
High,P62873,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,13,4,1,7,340,37.4,6.0,15052749.3125
High,Q9H0G5,NSRP1,Nuclear speckle splicing regulatory protein 1,12,6,6,11,558,66.4,8.84,13328430.375
High,Q96II8,LRCH3,DISP complex protein LRCH3,9,4,4,6,777,86.0,6.71,2130212.625
High,Q9UEY8,ADD3,Gamma-adducin,10,6,6,11,706,79.1,6.32,6715974.5
High,Q9H0J9,PARP12,Protein mono-ADP-ribosyltransferase PARP12,10,8,7,14,701,79.0,8.51,5286408.75
High,P13489,RNH1,Ribonuclease inhibitor,9,3,3,6,461,49.9,4.82,11017258.5
High,P01876,IGHA1,Immunoglobulin heavy constant alpha 1,13,4,4,7,398,42.8,5.64,6717206
High,P21912,SDHB,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",21,6,6,10,280,31.6,8.76,6544155.09375
High,Q96ST2,IWS1,Protein IWS1 homolog,8,5,5,7,819,91.9,4.69,11443267.25
High,P13807,GYS1,"Glycogen [starch] synthase, muscle",10,5,5,9,737,83.7,6.18,5495889.625
High,P62937,PPIA,Peptidyl-prolyl cis-trans isomerase A,30,5,5,11,165,18.0,7.81,5424136.625
High,Q9NR30,DDX21,Nucleolar RNA helicase 2,11,6,6,9,783,87.3,9.28,2551285.1875
High,O95639,CPSF4,Cleavage and polyadenylation specificity factor subunit 4,18,3,3,5,269,30.2,8.31,7433261.25
High,Q8IXB1,DNAJC10,DnaJ homolog subfamily C member 10,6,3,3,4,793,91.0,7.18,1300111.25
High,P62851,RPS25,40S ribosomal protein S25,28,5,5,11,125,13.7,10.11,87745629.25
High,P51148,RAB5C,Ras-related protein Rab-5C,22,4,4,7,216,23.5,8.41,4598861.3125
High,P04632,CAPNS1,Calpain small subunit 1,22,5,5,8,268,28.3,5.2,9981553.75
High,P41250,GARS1,Glycine--tRNA ligase,9,5,5,5,739,83.1,7.03,4386760.625
High,Q09161,NCBP1,Nuclear cap-binding protein subunit 1,7,5,5,8,790,91.8,6.43,3795259.0625
High,Q9Y2T2,AP3M1,AP-3 complex subunit mu-1,18,6,6,7,418,46.9,6.93,3355627.5625
High,Q13526,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,30,3,3,6,163,18.2,8.82,4451363.3125
High,Q8NEY8,PPHLN1,Periphilin-1,22,10,10,21,458,52.7,9.11,29949923.875
High,P26038,MSN,Moesin,12,9,9,14,577,67.8,6.4,11936553.625
High,Q9UKV8,AGO2,Protein argonaute-2,7,5,3,9,859,97.1,9.19,5097523.625
High,Q5JSZ5,PRRC2B,Protein PRRC2B,4,6,6,10,2229,242.8,8.34,3862297.125
High,Q9UJU6,DBNL,Drebrin-like protein,10,3,3,4,430,48.2,5.05,2464907.25
High,O14880,MGST3,Microsomal glutathione S-transferase 3,18,3,3,5,152,16.5,9.38,2075195.5625
High,Q6P2Q9,PRPF8,Pre-mRNA-processing-splicing factor 8,4,9,9,14,2335,273.4,8.84,6235264.0625
High,Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,9,5,5,6,802,85.1,6.79,4157082.875
High,P30050,RPL12,60S ribosomal protein L12,24,3,3,7,165,17.8,9.42,53812504
High,P14625,HSP90B1,Endoplasmin,3,3,1,6,803,92.4,4.84,795904.0625
High,Q9NQX3,GPHN,Gephyrin,9,5,5,6,736,79.7,5.43,3959771.3125
High,A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,8,5,5,8,911,101.5,8.69,8201555.375
High,Q15517,CDSN,Corneodesmosin,10,3,3,6,529,51.5,8.35,5540173.625
High,P11586,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",7,6,6,8,935,101.5,7.3,7348251.3125
High,P20042,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,17,5,5,9,333,38.4,5.8,8732970.625
High,Q14671,PUM1,Pumilio homolog 1,6,6,6,8,1186,126.4,6.84,4405158.3125
High,Q9H853,TUBA4B,Putative tubulin-like protein alpha-4B,11,2,1,5,241,27.5,7.83,26235487
High,P53618,COPB1,Coatomer subunit beta,8,6,6,7,953,107.1,6.05,4777308.5625
High,P31946,YWHAB,14-3-3 protein beta/alpha,28,6,2,9,246,28.1,4.83,
High,P24534,EEF1B2,Elongation factor 1-beta,16,3,3,6,225,24.7,4.67,9589172.75
High,Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20,10,5,5,7,824,92.2,6.95,7257813.125
High,P52943,CRIP2,Cysteine-rich protein 2,28,3,3,6,208,22.5,8.72,33579684.75
High,Q53EP0,FNDC3B,Fibronectin type III domain-containing protein 3B,5,4,4,7,1204,132.8,5.95,3288202.6875
High,Q9NZ09,UBAP1,Ubiquitin-associated protein 1,17,5,5,8,502,55.0,5.11,8810734.125
High,Q15942,ZYX,Zyxin,12,6,6,9,572,61.2,6.67,7437049.5
High,Q9GZS3,SKIC8,SKI8 subunit of superkiller complex protein,16,4,4,6,305,33.6,5.47,5004593.875
High,P02751,FN1,Fibronectin,3,6,6,7,2477,272.2,5.5,1598029.25
High,P46777,RPL5,60S ribosomal protein L5,15,4,4,9,297,34.3,9.72,12163588.75
High,P53041,PPP5C,Serine/threonine-protein phosphatase 5,12,4,4,6,499,56.8,6.28,2415606.125
High,P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,23,5,4,9,218,24.6,6.68,9675246.4375
High,O75525,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",14,5,3,15,346,38.8,7.61,3653275.375
High,Q96P70,IPO9,Importin-9,5,4,4,5,1041,115.9,4.81,854069.90625
High,Q13724,MOGS,Mannosyl-oligosaccharide glucosidase,10,6,6,9,837,91.9,8.9,31468832.5625
High,O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,15,4,4,8,359,39.6,7.17,5540980.875
High,O14920,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,7,5,5,11,756,86.5,5.78,5460340
High,Q8N7H5,PAF1,RNA polymerase II-associated factor 1 homolog,11,5,5,10,531,59.9,4.63,12333729.625
High,P60891,PRPS1,Ribose-phosphate pyrophosphokinase 1,11,3,3,6,318,34.8,6.98,3099770.5
High,Q02809,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",10,5,5,5,727,83.5,6.95,3726187.75
High,Q13131,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,11,6,6,9,559,64.0,8.12,7000249.375
High,Q96N67,DOCK7,Dedicator of cytokinesis protein 7,3,6,3,9,2140,242.4,6.8,1073869.375
High,Q15007,WTAP,Pre-mRNA-splicing regulator WTAP,13,4,4,7,396,44.2,5.19,2424559.21875
High,Q96HC4,PDLIM5,PDZ and LIM domain protein 5,13,6,6,8,596,63.9,8.21,6579382.0625
High,Q16658,FSCN1,Fascin,12,5,5,9,493,54.5,7.24,7753727.375
High,Q6UWP8,SBSN,Suprabasin,14,2,2,3,590,60.5,7.01,2520974.15625
High,P62910,RPL32,60S ribosomal protein L32,27,4,4,8,135,15.9,11.33,20322793.0625
High,Q96EP5,DAZAP1,DAZ-associated protein 1,9,3,3,5,407,43.4,8.56,3562766
High,Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,7,4,4,5,623,71.2,7.37,1473692.625
High,O60664,PLIN3,Perilipin-3,11,3,3,5,434,47.0,5.44,835704
High,O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,18,4,4,7,260,29.6,9.57,2591056.875
High,P52294,KPNA1,Importin subunit alpha-5,10,5,3,7,538,60.2,5.01,1810535.875
High,P46779,RPL28,60S ribosomal protein L28,23,5,5,12,137,15.7,12.02,33900131.15625
High,Q9P258,RCC2,Protein RCC2,14,7,7,12,522,56.0,8.78,4480114.5625
High,Q15427,SF3B4,Splicing factor 3B subunit 4,9,3,3,6,424,44.4,8.56,1861745.625
High,Q96QA5,GSDMA,Gasdermin-A,10,4,4,8,445,49.3,5.29,6155685.5
High,Q9BWH6,RPAP1,RNA polymerase II-associated protein 1,3,4,4,7,1393,152.7,6.38,3178589.375
High,P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,12,5,5,9,351,40.6,8.79,6168837.75
High,O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,16,4,4,6,380,41.8,8.54,4005416.375
High,P04075,ALDOA,Fructose-bisphosphate aldolase A,19,5,5,8,364,39.4,8.09,4930546.125
High,Q7Z7L1,SLFN11,Schlafen family member 11,7,7,6,11,901,102.8,7.77,6644447.875
High,Q9UBQ0,VPS29,Vacuolar protein sorting-associated protein 29,24,4,4,7,182,20.5,6.79,5751170
High,Q08188,TGM3,Protein-glutamine gamma-glutamyltransferase E,9,6,6,8,693,76.6,5.86,4050462.9375
High,Q03001,DST,Dystonin,1,8,5,10,7570,860.1,5.25,565307.5625
High,O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,48,5,5,8,129,15.2,9.85,5541172.0625
High,P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2,11,5,5,7,736,79.6,8.84,5376414.0625
High,O43813,LANCL1,Glutathione S-transferase LANCL1,13,5,5,10,399,45.3,7.75,8450454.875
High,Q03135,CAV1,Caveolin-1,13,2,2,3,178,20.5,6.02,5640425.125
High,Q13155,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,13,3,3,5,320,35.3,8.22,5543149.3125
High,Q12904,AIMP1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,20,5,5,8,312,34.3,8.43,9688653.25
High,Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A,12,4,3,7,249,27.9,8.62,6275527.5
High,Q02543,RPL18A,60S ribosomal protein L18a,22,6,6,12,176,20.7,10.71,54827358
High,P29353,SHC1,SHC-transforming protein 1,10,4,4,8,583,62.8,6.44,1835821.6875
High,P67870,CSNK2B,Casein kinase II subunit beta,22,4,4,7,215,24.9,5.55,14701763.25
High,O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2,24,4,4,6,245,28.3,8.88,4443640.5625
High,P22392,NME2,Nucleoside diphosphate kinase B,31,4,4,7,152,17.3,8.41,8068301.75
High,Q9Y281,CFL2,Cofilin-2,27,4,1,7,166,18.7,7.88,716654
High,Q13123,IK,Protein Red,10,6,6,10,557,65.6,6.64,9751199.875
